seller_id,total_transactions,successful_transactions,avg_rating,rating_count,refund_rate,complaint_count,account_age_days,late_delivery_rate,average_response_time_hours,inventory_count,price_variance_index,review_sentiment_score,fraud_flag_history,chargeback_rate,verification_status,success_rate,complaint_ratio,trust_label,trust_score
77,4937,1397,2.93,2483,0.029,83,790,0.173,14.45,1361,0.944,-0.747,0,0.175,0,0.2829653636,0.01681182905,0,93.22
78,4043,4043,2.35,1508,0.205,35,1582,0.393,44.76,9519,0.619,0.486,4,0.005,0,1,0.008656937917,0,100.06
79,4909,2605,4.96,3913,0.329,25,892,0.123,41.02,5623,0.807,-0.335,3,0.081,1,0.5306579751,0.005092686902,0,133.69
80,429,429,2.93,1278,0.379,46,1185,0.341,51.96,221,0.121,0.344,3,0.069,1,1,0.1072261072,0,116.6
81,542,542,2.39,459,0.043,94,386,0.45,63.84,1284,0.269,0.765,4,0.143,0,1,0.1734317343,0,103.93
82,2112,2016,2.6,1835,0.252,0,1701,0.175,40.74,4272,0.325,-0.828,1,0.003,0,0.9545454545,0,0,97.25
83,3934,2270,3.76,360,0.227,37,1358,0.015,11.66,5977,0.961,0.978,1,0.132,0,0.5770208439,0.009405185562,0,125.85
84,114,114,2.19,608,0.356,13,1059,0.012,43.47,3744,0.512,0.29,2,0.069,1,1,0.1140350877,0,110.6
85,2618,2135,4.59,720,0.3,89,2406,0.07,27.56,9387,0.007,-0.893,1,0.02,1,0.8155080214,0.03399541635,0,133.83
86,2077,158,4.88,879,0.386,45,2021,0.055,33.14,7785,0.38,-0.372,2,0.196,0,0.07607125662,0.02166586423,0,113.7
87,2745,2745,2.74,1993,0.384,41,2988,0.374,69.12,9076,0.008,0.772,0,0.042,0,1,0.01493624772,0,113.9
88,1545,881,3.35,1194,0.09,6,2415,0.147,40.4,5548,0.238,0.192,1,0.07,0,0.5702265372,0.003883495146,0,113.05
89,441,441,2.07,3221,0.29,54,911,0.326,11.62,4512,0.455,-0.426,1,0.041,0,1,0.1224489796,0,91.77
90,4564,2106,3.92,3574,0.212,55,568,0.021,32.46,2495,0.323,0.881,4,0.132,0,0.4614373357,0.0120508326,0,119.13
91,4524,3024,3.24,3669,0.086,75,766,0.148,17.22,7264,0.033,0.575,0,0.157,1,0.6684350133,0.01657824934,0,128.38
92,3611,3611,2.81,3612,0.078,62,1887,0.117,10.62,4380,0.116,0.471,2,0.172,0,1,0.01716975907,0,113.8
93,2328,2328,2.62,402,0.032,23,1560,0.138,51.57,5544,0.551,0.777,0,0.062,1,1,0.009879725086,0,129.59
94,3149,1674,3.96,851,0.318,82,1799,0.095,45.63,6715,0.696,0.54,3,0.105,0,0.5315973325,0.0260400127,0,117.66
95,250,250,3.25,2458,0.13,72,472,0.309,36.34,3408,0.405,-0.427,4,0.133,1,1,0.288,0,115.11
96,4925,3174,2.54,2107,0.343,98,953,0.331,31.05,6265,0.731,0.168,3,0.126,1,0.6444670051,0.01989847716,0,101.95
97,3154,272,4.07,2801,0.243,3,2997,0.074,23.88,4897,0.163,0.685,2,0.143,0,0.08623969562,0.0009511731135,0,114.81
98,4648,4115,3.7,1328,0.269,41,2128,0.371,7.25,6455,0.122,-0.638,1,0.154,1,0.8853270224,0.008820998279,0,120.54
99,2504,200,4.58,3506,0.117,95,2226,0.125,22.25,8337,0.839,-0.674,1,0.019,1,0.07987220447,0.03793929712,0,123.36
100,3695,682,2.35,2963,0.183,69,1980,0.141,60.53,342,0.339,-0.682,1,0.034,0,0.1845737483,0.01867388363,0,80.63
101,854,854,4.36,1045,0.165,27,1640,0.414,56.64,9228,0.432,-0.611,2,0.147,1,1,0.03161592506,0,132.21
102,2781,1529,4.02,1368,0.094,91,1871,0.451,70.03,3243,0.948,-0.794,3,0.095,1,0.5498022294,0.03272204243,0,115.49
103,2823,2129,2.35,1000,0.333,39,397,0.412,47.58,1545,0.424,0.675,2,0.085,0,0.7541622388,0.01381509033,0,98.12
104,1620,1620,4.08,1048,0.249,50,609,0.074,40.31,2134,0.003,0.637,2,0.091,1,1,0.03086419753,0,143.18
105,2740,2002,3.32,37,0.015,28,1800,0.5,22.02,2242,0.938,-0.697,3,0.074,1,0.7306569343,0.0102189781,0,110.48
106,3890,3890,4.83,397,0.328,41,685,0.336,6.46,3967,0.014,0.411,1,0.118,1,1,0.01053984576,0,150.1
107,1078,1078,2.42,1325,0.042,68,2153,0.255,44.88,7657,0.662,0.254,4,0.065,0,1,0.06307977737,0,102.01
108,552,552,3.93,3968,0.161,4,256,0.477,35.66,5292,0.323,-0.448,2,0.127,0,1,0.007246376812,0,117.02
109,4543,2065,3.15,842,0.229,40,988,0.409,54.89,5150,0.47,-0.545,2,0.041,0,0.4545454545,0.008804754567,0,93.96
110,920,920,4.87,259,0.003,60,621,0.346,30.24,7754,0.547,-0.499,3,0.152,1,1,0.0652173913,0,142.04
111,4538,887,2.99,2037,0.261,54,53,0.419,70.97,5707,0.408,0.461,4,0.156,0,0.1954605553,0.0118995152,0,90.7
112,256,256,4.89,1538,0.264,27,1792,0.193,29.23,962,0.774,-0.361,2,0.116,0,1,0.10546875,0,133.69
113,1534,1079,4.7,107,0.261,40,2105,0.342,24.65,3379,0.931,-0.444,0,0.074,1,0.7033898305,0.0260756193,0,137.05
114,913,913,2.81,1848,0.065,8,2198,0.095,62.84,6452,0.086,-0.955,4,0.003,0,1,0.008762322015,0,97.64
115,2840,328,4.41,1370,0.102,28,1543,0.494,29.08,6563,0.8,0.816,2,0.024,0,0.1154929577,0.00985915493,0,120.91
116,613,613,4.99,1072,0.099,77,882,0.294,62.83,6840,0.129,0.505,4,0.016,1,1,0.1256117455,0,152.32
117,4241,4241,2.76,3119,0.384,37,2701,0.407,2.94,174,0.08,-0.054,0,0.002,0,1,0.008724357463,0,106.01
118,1807,1807,3.31,1333,0.027,61,2967,0.204,50.17,7259,0.956,0.886,0,0.144,0,1,0.0337576093,0,129.62
119,1728,1728,3.56,2236,0.172,53,1398,0.379,6.1,2715,0.489,-0.413,4,0.191,1,1,0.0306712963,0,117.99
120,3292,3292,2.88,3690,0.349,51,2052,0.194,11.52,9941,0.153,0.349,1,0.002,0,1,0.01549210207,0,112.5
121,4686,4075,2.05,901,0.308,33,2108,0.295,50.71,113,0.57,-0.39,4,0.023,0,0.869611609,0.007042253521,0,83.44
122,1109,1109,2.66,1502,0.329,36,1708,0.389,21.57,7307,0.263,-0.371,3,0.172,1,1,0.03246167719,0,104.65
123,1772,1772,2.85,1315,0.389,48,2947,0.058,15.94,4701,0.464,0.689,1,0.138,1,1,0.02708803612,0,124.84
124,3364,3364,3.33,2807,0.155,41,79,0.178,57.91,4225,0.625,0.574,0,0.081,0,1,0.01218787158,0,125.78
125,3207,2883,2.51,1197,0.124,13,2803,0.272,68.18,6412,0.869,-0.412,1,0.199,1,0.8989710009,0.004053632679,0,107.94
126,2675,2675,4.62,462,0.012,81,1945,0.167,17.5,1137,0.003,-0.837,0,0.115,1,1,0.03028037383,0,142.93
127,2779,2779,4.11,106,0.06,32,2466,0.155,23.52,373,0.214,-0.285,0,0.134,0,1,0.01151493343,0,130.01
128,1647,1647,2.26,3850,0.225,97,1834,0.141,51.7,9771,0.096,0.52,0,0.131,1,1,0.05889496053,0,118.01
129,3110,1501,3.95,2366,0.063,91,1760,0.114,58.89,8071,0.097,-0.799,3,0.045,1,0.4826366559,0.02926045016,0,117.38
130,2743,2743,3.96,271,0.295,99,1819,0.424,71.94,378,0.946,0.344,3,0.098,0,1,0.03609187022,0,122.2
131,4941,971,4.87,2350,0.015,86,1044,0.462,20.41,3959,0.936,0.78,2,0.043,1,0.1965189233,0.01740538353,0,140.51
132,3677,1937,2.01,1803,0.104,16,2552,0.35,40.52,5063,0.749,-0.642,3,0.102,0,0.5267881425,0.004351373402,0,77.19
133,1413,1273,2.74,2306,0.278,74,2833,0.015,10.52,5873,0.643,0.724,0,0.006,0,0.9009200283,0.05237084218,0,116.98
134,2031,2031,4.78,2302,0.102,31,2680,0.393,24.49,5314,0.848,-0.897,4,0.076,1,1,0.01526341704,0,133.51
135,1713,1496,4.8,2308,0.292,78,1059,0.266,4.19,6547,0.058,0.334,1,0.074,0,0.8733216579,0.04553415061,0,138.03
136,1579,1579,4.16,2180,0.398,67,2870,0.379,15.97,7521,0.119,0.582,4,0.058,1,1,0.04243191894,0,134.88
137,2088,1996,4.3,334,0.319,38,441,0.219,36.96,5360,0.317,-0.11,0,0.016,0,0.9559386973,0.01819923372,0,130.38
138,3352,405,2.27,995,0.137,93,2011,0.021,12.63,2102,0.832,-0.593,4,0.154,0,0.120823389,0.02774463007,0,73.73
139,2287,292,3.54,3762,0.36,9,691,0.341,64.15,9717,0.472,0.849,1,0.084,1,0.127678181,0.003935286401,0,117.49
140,1356,1356,2.69,2558,0.02,86,1377,0.222,51.43,604,0.504,-0.96,2,0.163,1,1,0.06342182891,0,107.6
141,4079,3418,2.54,696,0.29,23,1335,0.437,2.97,1455,0.229,0.11,2,0.167,1,0.8379504781,0.005638636921,0,106.57
142,2725,2725,4.43,3862,0.009,99,220,0.369,63.25,3632,0.648,-0.254,3,0.043,1,1,0.03633027523,0,138.65
143,1332,1332,2.41,1749,0.07,57,2863,0.18,70.39,775,0.888,-0.078,4,0.084,0,1,0.04279279279,0,98.68
144,759,759,3.41,1870,0.395,68,614,0.362,36.63,6050,0.33,0.073,3,0.144,0,1,0.08959156785,0,109.9
145,4794,3664,4.82,3147,0.144,63,988,0.248,23.34,9542,0.619,0.069,3,0.1,1,0.7642886942,0.01314142678,0,141.64
146,4463,1682,2.56,3908,0.328,18,1883,0.1,19.71,9788,0.332,-0.593,4,0.171,0,0.3768765404,0.004033161551,0,79.38
147,3798,3798,4.93,845,0.15,7,529,0.21,7.21,6446,0.793,0.359,4,0.114,1,1,0.001843075303,0,149.05
148,4829,3922,4.98,68,0.336,70,609,0.111,35.9,4641,0.475,-0.962,1,0.126,1,0.812176434,0.01449575481,0,136.91
149,713,629,3.67,2788,0.386,39,845,0.002,4.56,8835,0.339,-0.958,4,0.157,0,0.8821879383,0.05469845722,0,102.73
150,2048,1942,2.51,1531,0.174,12,1506,0.123,36.77,6619,0.42,-0.043,4,0.024,0,0.9482421875,0.005859375,0,99.1
151,3495,1322,2.95,1406,0.224,26,1546,0.105,18.93,6202,0.091,0.084,3,0.117,1,0.3782546495,0.007439198856,0,106.08
152,3793,630,3.27,2323,0.251,81,1699,0.002,34.83,8163,0.866,-0.45,2,0.017,0,0.166095439,0.02135512787,0,94.92
153,1545,410,2.93,1686,0.374,87,2067,0.392,30.71,4766,0.958,0.103,0,0.052,1,0.2653721683,0.05631067961,0,105.24
154,3354,3354,2.84,245,0.103,1,1360,0.038,22.66,8660,0.477,0.032,2,0.043,1,1,0.0002981514609,0,121.56
155,3813,3667,4.92,2955,0.244,15,809,0.225,32.85,6850,0.221,-0.302,4,0.113,1,0.9617099397,0.003933910307,0,139.97
156,1903,1903,2.46,227,0.13,13,1179,0.209,34.66,6915,0.665,0.304,0,0.169,1,1,0.00683131897,0,119.21
157,4709,4385,4.2,1560,0.087,16,2342,0.091,60.19,9882,0.452,0.916,4,0.027,0,0.9311955829,0.003397748991,0,135.3
158,1341,1128,2,1847,0.034,59,36,0.483,48.27,4860,0.252,-0.018,1,0.154,0,0.841163311,0.04399701715,0,92.76
159,3631,395,3.79,3522,0.248,69,1466,0.302,31.75,1903,0.038,0.572,4,0.029,0,0.1087854586,0.01900302947,0,104.72
160,3507,2600,4.75,3731,0.353,98,724,0.407,65.27,518,0.89,-0.505,0,0.038,1,0.7413743941,0.02794411178,0,136.28
161,1686,1686,2.86,1439,0.141,16,1021,0.248,54.66,745,0.797,0.524,1,0.183,1,1,0.009489916963,0,124.71
162,3746,2506,2.56,3825,0.221,44,1496,0.361,6.38,6363,0.829,0.298,0,0.002,1,0.6689802456,0.01174586225,0,112.81
163,3049,820,3.96,3682,0.257,37,2005,0.485,11.92,2761,0.44,0.279,1,0.039,1,0.2689406363,0.01213512627,0,121.47
164,3202,3202,4.14,3032,0.166,63,2995,0.174,6.8,2853,0.753,0.786,3,0.043,0,1,0.019675203,0,134.3
165,748,748,4.06,598,0.361,5,777,0.252,23.64,8493,0.581,-0.533,0,0.056,1,1,0.006684491979,0,132.07
166,2210,342,2.96,1681,0.145,59,175,0.257,31.93,821,0.375,-0.263,3,0.073,1,0.1547511312,0.02669683258,0,98.39
167,4147,4147,2.76,926,0.05,48,2318,0.496,36.8,2107,0.843,-0.834,3,0.021,1,1,0.01157463226,0,106.14
168,4787,950,4.87,1502,0.058,20,886,0.117,61.45,659,0.999,0.452,4,0.094,0,0.1984541466,0.004177982035,0,125.56
169,904,904,4.77,927,0.356,98,316,0.338,2.27,2607,0.899,0.688,2,0.08,1,1,0.1084070796,0,149.91
170,3524,2859,3.37,1143,0.395,22,981,0.069,31.41,570,0.776,-0.188,1,0.125,0,0.8112939841,0.006242905789,0,110.03
171,1757,1757,4.54,2410,0.116,75,55,0.464,30.18,8971,0.748,-0.286,0,0.174,1,1,0.04268639727,0,142.12
172,2827,2827,3.36,1846,0.057,56,481,0.295,68.27,4661,0.65,0.317,3,0.06,0,1,0.01980898479,0,118.16
173,1783,827,3.27,2148,0.193,63,2183,0.43,18.11,513,0.854,-0.849,4,0.109,1,0.463825014,0.03533370723,0,98.55
174,4981,4473,2.47,1915,0.284,28,269,0.448,9.69,8829,0.493,-0.412,0,0.074,0,0.8980124473,0.005621361172,0,96.41
175,3560,302,3.28,3999,0.245,26,361,0.279,11.1,3872,0.182,-0.268,4,0.008,0,0.08483146067,0.007303370787,0,88.67
176,252,252,3.61,3495,0.38,5,2989,0.341,37.93,6661,0.768,0.037,0,0.164,0,1,0.01984126984,0,118.77
177,3305,1803,2.07,711,0.327,20,1944,0.349,28.75,2184,0.92,-0.047,4,0.127,1,0.5455370651,0.006051437216,0,88.83
178,4268,2577,3.33,2130,0.348,70,1095,0.23,54.54,3537,0.341,-0.583,4,0,0,0.6037956888,0.01640112465,0,95.68
179,4546,3194,4.34,2742,0.217,40,674,0.217,23.95,5433,0.783,0.082,2,0.05,0,0.7025956885,0.008798944127,0,125.05
180,816,816,4.04,3628,0.131,79,1882,0.093,10.09,6512,0.274,0.852,3,0.062,0,1,0.09681372549,0,134.6
181,4439,976,3.91,2779,0.281,4,64,0.192,28.47,7733,0.943,-0.946,1,0.162,0,0.2198693399,0.0009011038522,0,98.83
182,2377,2377,4.73,1331,0.176,14,2953,0.495,63.7,8835,0.683,0.361,1,0.152,0,1,0.00588977703,0,138.45
183,2981,536,2.05,3726,0.115,20,2461,0.135,29.79,6112,0.569,0.249,0,0.079,0,0.1798054344,0.006709158001,0,87.97
184,247,247,3.67,3364,0.061,57,840,0.381,60.19,7998,0.78,0.849,0,0.031,0,1,0.2307692308,0,133.5
185,1980,535,4.36,1538,0.211,3,1341,0.03,27.38,5162,0.813,0.291,2,0.077,0,0.2702020202,0.001515151515,0,120.48
186,3632,3632,3.62,1231,0.238,68,2825,0.234,20.98,510,0.892,0.25,0,0.162,1,1,0.01872246696,0,134.27
187,658,658,2.97,3015,0.228,6,1924,0.029,56.02,1573,0.901,0.54,1,0.09,0,1,0.009118541033,0,118.34
188,3322,3322,2.41,1065,0.047,34,1086,0.238,15.86,4085,0.053,-0.464,3,0.023,0,1,0.01023479831,0,97.2
189,1197,1197,4.66,657,0.228,35,2172,0.014,17.46,1184,0.123,0.191,2,0.008,0,1,0.02923976608,0,139.17
190,4332,3823,3.41,769,0.067,14,234,0.307,4.54,9800,0.826,0.039,0,0.067,0,0.8825023084,0.00323176362,0,119.45
191,3447,1222,4.63,2928,0.265,91,2911,0.293,14.34,7696,0.946,-0.123,2,0.03,0,0.3545111691,0.02639976791,0,119.11
192,2561,2561,3.76,3422,0.172,1,2107,0.399,27.9,2168,0.308,-0.841,2,0.149,1,1,0.0003904724717,0,120.93
193,1844,1844,4.02,3739,0.34,56,2343,0.292,29.37,1994,0.009,-0.415,2,0.056,1,1,0.03036876356,0,128.57
194,709,709,4.41,1367,0.311,4,2100,0.463,30.86,7309,0.323,-0.44,0,0.175,0,1,0.005641748942,0,125.71
195,2861,420,3.98,2200,0.29,70,2686,0.392,35.06,529,0.383,0.449,4,0.123,1,0.1468018175,0.02446696959,0,114.63
196,1419,1419,3.19,1779,0.28,85,68,0.066,41.61,1338,0.761,0.841,0,0.079,1,1,0.05990133897,0,135.61
197,2036,2036,3.54,3491,0.224,94,202,0.133,14.45,7206,0.048,-0.538,0,0.122,1,1,0.04616895874,0,126.81
198,196,196,4.41,958,0.024,31,789,0.013,44.59,7003,0.213,-0.851,0,0.059,1,1,0.1581632653,0,141.56
199,3269,2590,3.12,2101,0.262,71,1944,0.193,24.9,9134,0.894,1,0,0.028,0,0.7922912206,0.02171918018,0,121.51
200,2961,1241,3.16,2089,0.187,40,443,0.255,53.11,7528,0.155,0.382,0,0.193,1,0.4191151638,0.01350894968,0,117.32
201,1784,959,2.29,1776,0.188,41,721,0.473,40.56,9743,0.759,0.773,2,0.113,1,0.5375560538,0.02298206278,0,105.15
202,1893,1569,4.74,37,0.152,74,2692,0.261,40.35,7669,0.361,-0.712,2,0.001,0,0.8288431062,0.03909138933,0,126.66
203,538,538,2.27,3077,0.372,64,2286,0.391,49.67,417,0.663,0.602,0,0.062,0,1,0.1189591078,0,104.96
